,Word,Arousal_mean,Valence_mean,Dominance_mean,Concreteness_mean,Imageability_mean,Size_mean,Gender_mean,Arousal_by_runs,Valence_by_runs,Dominance_by_runs,Concreteness_by_runs,Imageability_by_runs,Size_by_runs,Gender_by_runs
0,course (class),4.0,5.0,5.5,4.25,4.5,4.25,5.0,"[4, 4, 4, 4]","[5, 5, 5, 5]","[6, 6, 5, 5]","[5, 4, 3, 5]","[4, 5, 4, 5]","[3, 5, 4, 5]","[5, 5, 5, 5]"
1,whisker,2.75,4.25,3.5,5.0,4.25,1.75,3.75,"[2, 3, 3, 3]","[4, 5, 4, 4]","[3, 4, 3, 4]","[5, 5, 5, 5]","[4, 4, 4, 5]","[1, 2, 2, 2]","[4, 4, 4, 3]"
2,date (romantic),6.5,6.75,6.25,4.5,4.75,3.5,4.0,"[7, 6, 7, 6]","[7, 7, 7, 6]","[6, 7, 6, 6]","[5, 4, 5, 4]","[5, 5, 4, 5]","[3, 3, 4, 4]","[5, 3, 4, 4]"
3,saint,3.25,7.25,6.5,5.25,4.75,4.25,2.75,"[3, 4, 3, 3]","[7, 6, 8, 8]","[6, 7, 6, 7]","[5, 5, 6, 5]","[5, 5, 4, 5]","[3, 5, 4, 5]","[3, 2, 4, 2]"
4,wake (funeral),5.25,2.25,1.75,4.5,3.75,4.25,3.0,"[8, 5, 3, 5]","[2, 3, 2, 2]","[2, 1, 2, 2]","[6, 4, 4, 4]","[4, 4, 3, 4]","[4, 6, 3, 4]","[3, 2, 4, 3]"
5,network,4.25,5.25,6.0,4.25,5.0,4.75,5.0,"[5, 4, 4, 4]","[5, 5, 6, 5]","[6, 6, 6, 6]","[4, 4, 5, 4]","[5, 6, 4, 5]","[4, 5, 4, 6]","[5, 5, 5, 5]"
6,swift (quick),7.0,6.5,7.25,5.75,5.5,5.0,5.75,"[7, 6, 8, 7]","[7, 6, 7, 6]","[8, 7, 7, 7]","[6, 5, 6, 6]","[6, 5, 5, 6]","[4, 6, 5, 5]","[5, 6, 6, 6]"
7,seal,3.75,5.25,4.75,6.25,4.75,3.0,4.25,"[3, 4, 4, 4]","[5, 5, 6, 5]","[5, 5, 4, 5]","[6, 6, 6, 7]","[5, 5, 4, 5]","[2, 4, 3, 3]","[4, 4, 5, 4]"
8,lift (elevator),3.25,5.25,5.0,5.75,5.25,4.25,5.0,"[2, 3, 4, 4]","[5, 6, 5, 5]","[6, 4, 5, 5]","[6, 6, 6, 5]","[5, 6, 5, 5]","[4, 4, 4, 5]","[5, 5, 5, 5]"
9,caviar,5.0,6.0,6.25,5.25,3.75,3.75,4.0,"[5, 5, 5, 5]","[6, 6, 6, 6]","[6, 7, 6, 6]","[6, 6, 4, 5]","[3, 4, 4, 4]","[2, 5, 3, 5]","[4, 4, 4, 4]"
10,root,2.5,4.75,4.25,5.5,4.75,3.0,4.75,"[2, 2, 3, 3]","[5, 5, 5, 4]","[3, 5, 4, 5]","[6, 5, 6, 5]","[5, 5, 4, 5]","[2, 4, 3, 3]","[4, 5, 5, 5]"
11,rash (reckless),6.5,2.5,3.75,3.0,3.75,2.75,4.5,"[7, 6, 7, 6]","[2, 2, 3, 3]","[3, 2, 3, 7]","[4, 3, 3, 2]","[4, 4, 3, 4]","[2, 3, 3, 3]","[3, 4, 5, 6]"
12,algebra,3.0,4.25,5.25,2.0,4.0,3.5,5.0,"[2, 3, 3, 4]","[5, 4, 4, 4]","[6, 5, 5, 5]","[2, 2, 2, 2]","[4, 4, 3, 5]","[3, 4, 3, 4]","[5, 5, 5, 5]"
13,thigh,5.25,5.0,5.25,6.0,4.75,3.75,3.25,"[5, 6, 5, 5]","[5, 5, 5, 5]","[5, 5, 5, 6]","[6, 6, 6, 6]","[5, 5, 4, 5]","[3, 4, 4, 4]","[3, 2, 5, 3]"
14,key (crucial),4.0,6.5,6.75,5.75,5.0,4.25,5.75,"[4, 4, 4, 4]","[6, 7, 7, 6]","[7, 7, 6, 7]","[6, 5, 6, 6]","[5, 6, 4, 5]","[3, 5, 4, 5]","[5, 6, 6, 6]"
15,beggar,3.5,2.0,2.0,3.75,3.5,1.75,3.25,"[5, 4, 3, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[4, 4, 4, 3]","[4, 4, 3, 3]","[1, 2, 2, 2]","[3, 3, 3, 4]"
16,trustworthy,3.75,7.5,7.0,5.0,5.0,4.25,3.75,"[2, 5, 4, 4]","[7, 8, 8, 7]","[7, 8, 6, 7]","[6, 4, 5, 5]","[5, 6, 4, 5]","[3, 5, 4, 5]","[4, 2, 5, 4]"
17,inebriated,7.0,2.25,2.0,2.5,4.0,3.25,4.75,"[8, 6, 7, 7]","[2, 2, 2, 3]","[2, 2, 2, 2]","[3, 3, 2, 2]","[4, 4, 4, 4]","[3, 3, 3, 4]","[3, 4, 6, 6]"
18,torch (burn),5.75,4.0,5.25,5.25,5.0,3.75,5.25,"[6, 5, 6, 6]","[4, 4, 4, 4]","[5, 6, 5, 5]","[5, 5, 6, 5]","[5, 5, 4, 6]","[3, 4, 3, 5]","[5, 5, 6, 5]"
