Word,Auditory_mean,Gustatory_mean,Haptic_mean,Interoceptive_mean,Olfactory_mean,Visual_mean,Auditory_by_runs,Gustatory_by_runs,Haptic_by_runs,Interoceptive_by_runs,Olfactory_by_runs,Visual_by_runs,Foot/leg_mean,Hand/arm_mean,Torso_mean,Head_mean,Mouth/throat_mean,Foot/leg_by_runs,Hand/arm_by_runs,Torso_by_runs,Head_by_runs,Mouth/throat_by_runs
abbreviate,0.5,0,0,0,0,1,"[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 3.0, 1.0]",0.25,0.75,0,0.25,0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
abdicate,0.5,0,0.25,0,0,1,"[0.0, 2.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 2.0, 0.0]",0,0.25,0,0.25,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
abdomen,0,0,3.5,4.75,0,3.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[4.0, 5.0, 3.0, 2.0]","[4.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 3.0, 1.0]",0,0.5,5,0.25,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 2.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
abdominal,0,0,0.75,5,0,1.25,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 1.0, 3.0]",0,0,5,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 5.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
abduct,1.75,0,1,1.25,0,1.75,"[0.0, 1.0, 3.0, 3.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 2.0, 2.0, 0.0]","[0.0, 2.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0]","[1.0, 2.0, 3.0, 1.0]",1.75,4,0.25,0.5,0,"[0.0, 1.0, 3.0, 3.0]","[4.0, 4.0, 4.0, 4.0]","[0.0, 1.0, 0.0, 0.0]","[0.0, 1.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0]"
abduction,1,0,0,0,0,3,"[0.0, 0.0, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[3.0, 2.0, 4.0, 3.0]",3.75,4.25,2.25,1,0,"[5.0, 5.0, 2.0, 3.0]","[5.0, 5.0, 3.0, 4.0]","[5.0, 0.0, 1.0, 3.0]","[0.0, 0.0, 1.0, 3.0]","[0.0, 0.0, 0.0, 0.0]"
abide,1,0,0,0.25,0,0.75,"[0.0, 2.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.0, 1.0]",0.75,0.75,0.5,0.75,0,"[0.0, 1.0, 0.0, 2.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 2.0]","[0.0, 1.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]"
ability,0,0,0,0,0,0.5,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0]",1,1.25,0.75,1,0.75,"[0.0, 0.0, 3.0, 1.0]","[0.0, 0.0, 3.0, 2.0]","[0.0, 0.0, 3.0, 0.0]","[0.0, 0.0, 3.0, 1.0]","[0.0, 0.0, 3.0, 0.0]"
able,0.5,0,0.75,0.25,0.25,1.5,"[0.0, 0.0, 0.0, 2.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 3.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 1.0, 5.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
abode,0.25,0,0.25,0,0,4.5,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[5.0, 4.0, 4.0, 5.0]",0,0,0,0,0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]"
